             x       y       Lnx         yLnx    (Ln x)²        SQREG        SQTOT
330  1985.7083  343.47  7.593731  2608.218771  57.664750    65.671031   215.506150
331  1985.7917  343.35  7.593773  2607.321944  57.665388    63.493098   219.043780
332  1985.8750  344.73  7.593815  2617.815811  57.666025    61.354525   180.099828
333  1985.9583  346.12  7.593857  2628.385732  57.666662    59.252674   144.723973
334  1986.0417  346.78  7.593899  2633.412240  57.667300    57.185085   129.279804
335  1986.1250  347.48  7.593941  2638.742543  57.667937    55.156711   113.851625
336  1986.2083  348.25  7.593983  2644.604483  57.668574    53.165045    98.012529
337  1986.2917  349.86  7.594025  2656.845486  57.669211    51.207759    68.726218
338  1986.3750  350.52  7.594067  2661.872242  57.669848    49.289541    58.218849
339  1986.4583  349.98  7.594109  2657.786122  57.670485    47.408018    66.750987
340  1986.5417  348.25  7.594151  2644.662935  57.671123    45.560993    98.012529
341  1986.6250  346.17  7.594192  2628.881617  57.671760    43.752890   143.523460
342  1986.7083  345.48  7.594234  2623.656110  57.672397    41.981468   160.532136
343  1986.7917  344.82  7.594276  2618.658390  57.673034    40.244663   177.692305
344  1986.8750  346.22  7.594318  2629.304893  57.673671    38.546634   142.327947
345  1986.9583  347.49  7.594360  2638.964245  57.674308    36.885272   113.638323
346  1987.0417  348.73  7.594402  2648.395889  57.674945    35.258645    88.738806
347  1987.1250  348.92  7.594444  2649.853453  57.675582    33.670648    85.195258
348  1987.2083  349.81  7.594486  2656.627172  57.676219    32.119304    69.557730
349  1987.2917  351.40  7.594528  2668.717152  57.676856    30.602814    45.564224
350  1987.3750  352.15  7.594570  2674.427808  57.677493    29.124807    36.001533
351  1987.4583  351.58  7.594612  2670.113640  57.678129    27.683441    43.166578
352  1987.5417  350.21  7.594654  2659.723717  57.678767    26.277045    63.045628
353  1987.6250  348.20  7.594696  2644.473056  57.679403    24.908987    99.005042
354  1987.7083  346.66  7.594738  2632.791752  57.680040    23.577556   132.023035
