             x       y             xy            x²        SQREG        SQTOT
277  1981.2917  342.60  678790.536420  3.925517e+06   237.338137   241.806472
278  1981.3750  343.04  679690.880000  3.925847e+06   233.193937   228.315960
279  1981.4583  342.54  678728.726082  3.926177e+06   229.086237   243.676087
280  1981.5417  340.82  675349.042194  3.926508e+06   225.010172   300.333327
281  1981.6250  338.48  670740.430000  3.926838e+06   220.975517   386.913924
282  1981.7083  336.95  667736.611685  3.927168e+06   216.977363   449.445415
283  1981.7917  337.05  667962.892485  3.927498e+06   213.010976   445.215390
284  1981.8750  338.57  671003.418750  3.927829e+06   209.085867   383.381401
285  1981.9583  339.91  673687.445753  3.928159e+06   205.197259   332.702259
286  1982.0417  340.93  675737.476781  3.928489e+06   201.340548   296.532798
287  1982.1250  341.76  677411.040000  3.928820e+06   197.524985   268.636286
288  1982.2083  342.78  679461.361074  3.929150e+06   193.745923   236.240826
289  1982.2917  343.96  681829.053132  3.929480e+06   189.998890   201.359725
290  1982.3750  344.77  683463.428750  3.929811e+06   186.292873   179.027818
291  1982.4583  343.88  681727.760204  3.930141e+06   182.623356   203.636545
292  1982.5417  342.42  678861.928914  3.930472e+06   178.986000   247.436918
293  1982.6250  340.24  674568.330000  3.930802e+06   175.389529   320.772675
294  1982.7083  338.38  670908.834554  3.931132e+06   171.829558   390.857950
295  1982.7917  338.41  670996.539197  3.931463e+06   168.301880   389.672642
296  1982.8750  339.44  673067.090000  3.931793e+06   164.814954   350.068879
297  1982.9583  340.78  675752.529474  3.932124e+06   161.364529   301.721337
298  1983.0417  341.57  677347.553469  3.932454e+06   157.946528   274.900635
299  1983.1250  342.79  679795.418750  3.932785e+06   154.569148   235.933523
300  1983.2083  343.37  680974.233971  3.933115e+06   151.228269   218.452175
301  1983.2917  345.39  685009.120263  3.933446e+06   147.919945   162.820859
302  1983.3750  346.14  686525.422500  3.933776e+06   144.652111   144.243168
303  1983.4583  345.76  685800.541808  3.934107e+06   141.420777   153.515265
304  1983.5417  344.32  682973.078144  3.934438e+06   138.222131   191.272433
305  1983.6250  342.51  679411.398750  3.934768e+06   135.063843   244.613595
306  1983.7083  340.46  675373.327818  3.935099e+06   131.942055   312.940619
307  1983.7917  340.53  675540.587601  3.935430e+06   128.853086   310.468901
308  1983.8750  341.79  678068.636250  3.935760e+06   125.804343   267.653779
309  1983.9583  343.20  680894.488560  3.936091e+06   122.792102   223.506319
310  1984.0417  344.21  682926.993557  3.936421e+06   119.812810   194.327161
311  1984.1250  344.92  684364.395000  3.936752e+06   116.873613   175.036279
312  1984.2083  345.68  685901.125144  3.937083e+06   113.970917   155.504085
313  1984.2917  347.38  689303.250746  3.937414e+06   111.101303   115.995651
314  1984.3750  347.78  690125.937500  3.937744e+06   108.271652   107.539549
315  1984.4583  347.16  688924.543428  3.938075e+06   105.478501   120.782907
316  1984.5417  345.79  686234.674443  3.938406e+06   102.718564   152.772757
317  1984.6250  343.74  682194.997500  3.938736e+06    99.998459   207.651781
318  1984.7083  341.59  677956.508197  3.939067e+06    97.314855   274.237830
319  1984.7917  341.86  678520.890562  3.939398e+06    94.664595   265.368261
320  1984.8750  343.31  681427.436250  3.939729e+06    92.054035   220.229391
321  1984.9583  345.00  684810.613500  3.940059e+06    89.479977   172.925859
322  1985.0417  345.48  685792.206516  3.940391e+06    86.939394   160.532136
323  1985.1250  346.41  687667.151250  3.940721e+06    84.438381   137.830599
324  1985.2083  347.91  690673.819653  3.941052e+06    81.973868   104.860216
325  1985.2917  348.66  692191.804122  3.941383e+06    79.542963    90.062524
326  1985.3750  349.28  693451.780000  3.941714e+06    77.151495    78.679166
327  1985.4583  348.65  692230.036295  3.942045e+06    74.796528    90.252427
328  1985.5417  346.90  688784.415730  3.942376e+06    72.475300   126.565374
329  1985.6250  345.26  685556.887500  3.942707e+06    70.193378   166.155392
330  1985.7083  343.47  682031.229801  3.943037e+06    67.947957   215.506150
331  1985.7917  343.35  681821.580195  3.943369e+06    65.736406   219.043780
332  1985.8750  344.73  684590.688750  3.943700e+06    63.564030   180.099828
333  1985.9583  346.12  687379.886796  3.944030e+06    61.428155   144.723973
334  1986.0417  346.78  688719.540726  3.944362e+06    59.326281   129.279804
335  1986.1250  347.48  690138.715000  3.944693e+06    57.263451   113.851625
336  1986.2083  348.25  691697.040475  3.945023e+06    55.237121    98.012529
337  1986.2917  349.86  694924.014162  3.945355e+06    53.244925    68.726218
338  1986.3750  350.52  696264.165000  3.945686e+06    51.291641    58.218849
339  1986.4583  349.98  695220.675834  3.946017e+06    49.374857    66.750987
340  1986.5417  348.25  691813.147025  3.946348e+06    47.492338    98.012529
341  1986.6250  346.17  687709.976250  3.946679e+06    45.648600   143.523460
342  1986.7083  345.48  686367.983484  3.947010e+06    43.841361   160.532136
343  1986.7917  344.82  685085.513994  3.947341e+06    42.068520   177.692305
344  1986.8750  346.22  687895.862500  3.947672e+06    40.334327   142.327947
