             x       y      Ln y          xLny            x²         SQREG         SQTOT
281  1981.6250  338.48  5.824465  11541.905468  3.926838e+06  1.701996e-03  2.789273e-03
282  1981.7083  336.95  5.819935  11533.412606  3.927168e+06  1.671202e-03  3.288337e-03
283  1981.7917  337.05  5.820231  11534.486057  3.927498e+06  1.640652e-03  3.254393e-03
284  1981.8750  338.57  5.824731  11543.888484  3.927829e+06  1.610420e-03  2.761262e-03
285  1981.9583  339.91  5.828681  11552.202442  3.928159e+06  1.580469e-03  2.361736e-03
286  1982.0417  340.93  5.831677  11558.627347  3.928489e+06  1.550764e-03  2.079487e-03
287  1982.1250  341.76  5.834109  11563.932779  3.928820e+06  1.521376e-03  1.863635e-03
288  1982.2083  342.78  5.837089  11570.325950  3.929150e+06  1.492269e-03  1.615215e-03
289  1982.2917  343.96  5.840525  11577.624968  3.929480e+06  1.463408e-03  1.350798e-03
290  1982.3750  344.77  5.842878  11582.774340  3.929811e+06  1.434864e-03  1.183432e-03
291  1982.4583  343.88  5.840293  11578.136855  3.930141e+06  1.406601e-03  1.367951e-03
292  1982.5417  342.42  5.836038  11570.188804  3.930472e+06  1.378585e-03  1.700781e-03
293  1982.6250  340.24  5.829651  11558.012311  3.930802e+06  1.350884e-03  2.268362e-03
